 -3.0000     0.0033865737 
 -2.5000     0.0028600299 
 -2.0000     0.0022218882 
 -1.5000     0.0014721498 
 -1.0000     0.0007878083 
 -0.5000     0.0003440495 
  0.0000    -0.0001758432 
  0.5000    -0.0010842503 
  1.0000    -0.0021452047 
  1.5000    -0.0031233031 
  2.0000    -0.0038644532 
  2.5000    -0.0042135639 
  3.0000    -0.0042714181 
  3.5000    -0.0041390900 
  4.0000    -0.0038165795 
  4.5000    -0.0033590448 
  5.0000    -0.0028216312 
  5.5000    -0.0022043387 
  6.0000    -0.0015234542 
  6.5000    -0.0007952526 
  7.0000    -0.0000357003 
  7.5000     0.0007392195 
  8.0000     0.0015234097 
  8.5000     0.0023107521 
  9.0000     0.0030892434 
  9.5000     0.0038468100 
 10.0000     0.0045834517 
 10.5000     0.0053096229 
 11.0000     0.0060358733 
 11.5000     0.0067622031 
 12.0000     0.0074760382 
