 -3.0000     0.0000102637 
 -2.5000     0.0000068573 
 -2.0000    -0.0000003550 
 -1.5000    -0.0000113731 
 -1.0000    -0.0000220718 
 -0.5000    -0.0000280497 
  0.0000    -0.0000322896 
  0.5000    -0.0000378123 
  1.0000    -0.0000457892 
  1.5000    -0.0000573918 
  2.0000    -0.0000713335 
  2.5000    -0.0000863284 
  3.0000    -0.0001057226 
  3.5000    -0.0001328660 
  4.0000    -0.0001677585 
  4.5000    -0.0002062126 
  5.0000    -0.0002440370 
  5.5000    -0.0002812318 
  6.0000    -0.0003144355 
  6.5000    -0.0003402906 
  7.0000    -0.0003599411 
  7.5000    -0.0003745284 
  8.0000    -0.0003846951 
  8.5000    -0.0003910826 
  9.0000    -0.0003921097 
  9.5000    -0.0003861975 
 10.0000    -0.0003733460 
 10.5000    -0.0003563998 
 11.0000    -0.0003382074 
 11.5000    -0.0003187687 
 12.0000    -0.0002981827 
