 -3.0000    -0.0031379734 
 -2.5000    -0.0032407663 
 -2.0000    -0.0033249116 
 -1.5000    -0.0033904091 
 -1.0000    -0.0034372589 
 -0.5000    -0.0034654609 
  0.0000    -0.0034750153 
  0.5000    -0.0034659220 
  1.0000    -0.0034381809 
  1.5000    -0.0033917922 
  2.0000    -0.0033267557 
  2.5000    -0.0032430715 
  3.0000    -0.0031407396 
  3.5000    -0.0030197600 
  4.0000    -0.0028801327 
  4.5000    -0.0027332332 
  5.0000    -0.0025904343 
  5.5000    -0.0024517362 
  6.0000    -0.0023187988 
  6.5000    -0.0021932809 
  7.0000    -0.0020758873 
  7.5000    -0.0019673236 
  8.0000    -0.0018668919 
  8.5000    -0.0017738922 
  9.0000    -0.0016879332 
  9.5000    -0.0016086212 
 10.0000    -0.0015353311 
 10.5000    -0.0014674327 
 11.0000    -0.0014044614 
 11.5000    -0.0013459476 
 12.0000    -0.0012911916 
